payment_id,loan_id,payment_amount,payment_date
PMT0000269,LON0001066,2450.07,2019-06-19
PMT0000270,LON0002398,4186.57,2023-09-10
PMT0000271,LON0002644,1646.61,2019-03-21
PMT0000272,LON0000973,5048.92,2019-06-05
PMT0000273,LON0000855,8236.74,2021-12-17
PMT0000274,LON0002179,3085.61,2020-09-13
PMT0000275,LON0002292,9963.78,2024-09-01
PMT0000276,LON0001284,3970.34,2021-03-23
PMT0000277,LON0002785,1615.24,2018-06-25
PMT0000278,LON0001412,6660.4,2022-12-05
PMT0000279,LON0001439,1854.06,2023-05-17
PMT0000280,LON0002090,7648.69,2022-06-01
PMT0000281,LON0000502,3344.95,2023-10-03
PMT0000282,LON0000875,2412.1,2024-06-25
PMT0000283,LON0001956,1870.92,2023-01-25
PMT0000284,LON0001327,3145.95,2019-10-03
PMT0000285,LON0002906,317.96,2023-11-07
PMT0000286,LON0000008,2976.17,2018-08-18
PMT0000287,LON0000296,2953.78,2022-01-30
PMT0000288,LON0002893,9962.07,2022-10-16
PMT0000289,LON0001425,7142.79,2024-01-08
PMT0000290,LON0001740,710.93,2021-03-23
PMT0000291,LON0002114,6741.26,2018-02-22
PMT0000292,LON0001835,9480.15,2021-09-27
PMT0000293,LON0001424,4751.73,2020-08-17
PMT0000294,LON0002432,4243.24,2023-01-27
PMT0000295,LON0001293,3906.02,2019-05-21
PMT0000296,LON0000267,9267.16,2023-04-27
PMT0000297,LON0000081,2270.09,2023-12-20
PMT0000298,LON0002500,7082.1,2020-02-24
PMT0000299,LON0000218,8032.86,2018-11-29
PMT0000300,LON0002474,5928.1,2023-11-02
PMT0000301,LON0000684,1695.71,2018-11-11
PMT0000302,LON0001112,9198.49,2018-11-15
PMT0000303,LON0001691,2357.78,2018-01-31
PMT0000304,LON0002690,5901.32,2024-12-10
PMT0000305,LON0001046,7730.22,2018-12-24
PMT0000306,LON0002099,259.05,2022-07-05
PMT0000307,LON0001622,5230.48,2019-03-14
PMT0000308,LON0001794,7605.63,2023-01-28
PMT0000309,LON0000566,3746.16,2024-01-25
PMT0000310,LON0001981,1003.89,2024-03-20
PMT0000311,LON0001904,3790.69,2020-03-03
PMT0000312,LON0002536,1672.75,2023-01-11
PMT0000313,LON0002247,933.14,2023-04-18
PMT0000314,LON0000790,5188.39,2020-02-26
PMT0000315,LON0002555,5397.64,2022-12-06
PMT0000316,LON0000013,6923.2,2020-12-22
PMT0000317,LON0000305,7703.39,2021-09-23
PMT0000318,LON0002672,6331.72,2018-05-19
PMT0000319,LON0001110,3037.24,2022-03-10
PMT0000320,LON0000902,1497.15,2022-04-30
PMT0000321,LON0000570,252.91,2018-05-16
PMT0000322,LON0000496,4027.19,2022-08-14
PMT0000323,LON0001500,6640.85,2023-03-25
PMT0000324,LON0002275,8549.44,2022-04-29
PMT0000325,LON0002268,855.68,2023-11-27
PMT0000326,LON0002040,2758.74,2019-10-27
PMT0000327,LON0000429,205.88,2024-08-29
PMT0000328,LON0000206,9058.75,2021-02-03
PMT0000329,LON0001484,4603.34,2024-03-08
PMT0000330,LON0002508,1362.41,2019-08-22
PMT0000331,LON0001080,2985.59,2022-08-13
PMT0000332,LON0002557,9254.61,2020-07-23
PMT0000333,LON0000957,4136.02,2018-01-21
PMT0000334,LON0000970,7100.57,2022-04-22
PMT0000335,LON0002232,6771.63,2022-06-06
PMT0000336,LON0002290,7756.24,2020-08-13
PMT0000337,LON0001361,8447.32,2020-05-03
PMT0000338,LON0002933,5893.11,2020-11-27
PMT0000339,LON0000804,5444.64,2018-09-15
PMT0000340,LON0002359,3714.77,2023-06-15
PMT0000341,LON0000459,5403.4,2023-08-28
PMT0000342,LON0001056,8346.09,2020-08-27
PMT0000343,LON0001118,9508.27,2023-12-05
PMT0000344,LON0002655,9766.77,2024-03-14
PMT0000345,LON0002536,2119.12,2019-05-20
PMT0000346,LON0001730,1456.88,2024-10-07
PMT0000347,LON0002270,4216.37,2024-11-01
PMT0000348,LON0000141,7157.05,2022-03-04
PMT0000349,LON0002719,5005.05,2019-10-23
PMT0000350,LON0000426,3239.0,2019-03-31
PMT0000351,LON0000752,6843.76,2024-01-03
PMT0000352,LON0000776,7224.84,2024-11-18
PMT0000353,LON0000871,8253.72,2024-09-08
PMT0000354,LON0001866,7859.3,2019-03-10
PMT0000355,LON0002804,9557.4,2021-08-03
PMT0000356,LON0000342,7737.85,2019-01-12
PMT0000357,LON0000730,6758.56,2018-01-24
PMT0000358,LON0000287,9070.65,2020-01-19
PMT0000359,LON0000423,4439.99,2023-08-02
PMT0000360,LON0000393,2217.47,2018-11-20
PMT0000361,LON0001202,7250.66,2022-11-05
PMT0000362,LON0002051,9686.66,2023-09-10
PMT0000363,LON0002167,5684.43,2020-03-27
PMT0000364,LON0001166,8094.37,2023-04-25
PMT0000365,LON0001288,3910.96,2021-08-09
PMT0000366,LON0000898,9215.49,2021-05-11
PMT0000367,LON0001505,3700.87,2023-03-04
PMT0000368,LON0000617,170.05,2023-07-30
PMT0000369,LON0000255,755.81,2021-10-24
PMT0000370,LON0000945,7526.64,2020-04-13
PMT0000371,LON0002506,3242.74,2022-04-11
PMT0000372,LON0002678,115.13,2023-11-02
PMT0000373,LON0000340,1503.91,2024-11-21
PMT0000374,LON0000207,7585.42,2021-06-26
PMT0000375,LON0001892,2855.49,2021-04-10
PMT0000376,LON0000214,6983.44,2022-08-30
PMT0000377,LON0000689,4383.31,2019-06-17
PMT0000378,LON0000120,1334.06,2024-02-01
PMT0000379,LON0002332,6543.81,2019-05-16
PMT0000380,LON0002515,7937.94,2018-05-10
PMT0000381,LON0002685,4588.22,2021-01-01
PMT0000382,LON0000902,8580.15,2024-01-23
PMT0000383,LON0002178,8713.86,2018-11-03
PMT0000384,LON0002768,2285.34,2024-05-04
PMT0000385,LON0000733,1149.05,2022-06-20
PMT0000386,LON0002676,3625.97,2021-01-05
PMT0000387,LON0002711,7468.89,2021-05-10
PMT0000388,LON0001603,8023.43,2019-03-31
PMT0000389,LON0002212,8950.13,2020-07-02
PMT0000390,LON0000382,9068.51,2021-04-14
PMT0000391,LON0000648,2209.93,2022-12-20
PMT0000392,LON0002859,5861.68,2024-07-15
PMT0000393,LON0002288,8357.35,2019-07-27
PMT0000394,LON0001907,8131.28,2020-08-01
PMT0000395,LON0000838,2713.34,2023-01-06
PMT0000396,LON0001166,7844.18,2020-10-11
PMT0000397,LON0002501,7026.14,2020-04-09
PMT0000398,LON0002413,1351.53,2021-02-18
PMT0000399,LON0001588,2614.3,2023-08-16
PMT0000400,LON0000236,9221.26,2019-01-13
PMT0000401,LON0002751,6055.84,2022-12-02
PMT0000402,LON0001481,2516.14,2023-07-12
PMT0000403,LON0002646,4408.72,2022-11-24
PMT0000404,LON0002345,5604.07,2022-05-17
PMT0000405,LON0001734,2758.95,2022-01-13
PMT0000406,LON0000478,6833.29,2023-02-09
PMT0000407,LON0002556,1177.77,2020-11-09
PMT0000408,LON0001572,7689.22,2022-12-14
PMT0000409,LON0000833,8211.8,2023-10-16
PMT0000410,LON0002881,9752.31,2022-04-29
PMT0000411,LON0002094,2275.55,2019-04-13
PMT0000412,LON0000256,1047.83,2018-04-06
PMT0000413,LON0000944,1331.17,2022-11-11
PMT0000414,LON0002065,3381.12,2018-03-11
PMT0000415,LON0000605,8390.06,2019-05-31
PMT0000416,LON0002471,4690.94,2024-06-26
PMT0000417,LON0002602,8769.91,2022-01-14
PMT0000418,LON0000660,9988.26,2023-04-08
PMT0000419,LON0000540,6151.9,2019-07-11
PMT0000420,LON0002904,8784.44,2018-05-17
PMT0000421,LON0002041,6139.4,2020-03-16
PMT0000422,LON0000714,2149.3,2024-05-27
PMT0000423,LON0002780,8061.16,2022-04-09
PMT0000424,LON0002669,6406.1,2023-05-31
PMT0000425,LON0000110,9149.74,2024-05-11
PMT0000426,LON0000570,8530.34,2021-02-07
PMT0000427,LON0000231,5681.97,2018-08-10
PMT0000428,LON0000099,7632.98,2023-12-08
PMT0000429,LON0002276,5901.71,2020-10-15
PMT0000430,LON0002874,6468.23,2021-04-08
PMT0000431,LON0002846,8132.1,2021-08-23
PMT0000432,LON0000374,929.0,2022-06-17
PMT0000433,LON0001282,6274.83,2023-03-28
PMT0000434,LON0000735,785.61,2019-04-05
PMT0000435,LON0002234,6151.14,2019-04-28
PMT0000436,LON0001458,213.07,2019-02-22
PMT0000437,LON0001360,8296.45,2019-11-29
PMT0000438,LON0001470,441.39,2022-08-18
PMT0000439,LON0000875,9157.98,2024-10-25
PMT0000440,LON0000443,5361.61,2018-04-24
PMT0000441,LON0000843,1019.98,2018-05-16
PMT0000442,LON0000185,6721.72,2024-06-29
PMT0000443,LON0001949,8260.9,2022-08-13
PMT0000444,LON0002575,5530.1,2023-12-02
PMT0000445,LON0000612,1103.58,2019-05-02
PMT0000446,LON0000737,7957.38,2018-10-25
PMT0000447,LON0002481,9093.0,2019-08-05
PMT0000448,LON0000523,182.43,2020-11-15
PMT0000449,LON0000196,4645.47,2019-06-25
PMT0000450,LON0000472,914.12,2024-08-24
PMT0000451,LON0001666,2322.4,2019-01-03
PMT0000452,LON0002770,2863.63,2021-02-20
PMT0000453,LON0001977,2866.27,2020-12-19
PMT0000454,LON0000460,3492.01,2020-12-28
PMT0000455,LON0000806,7506.37,2021-02-12
PMT0000456,LON0001458,8432.97,2024-10-31
PMT0000457,LON0001219,9566.23,2020-09-10
PMT0000458,LON0000827,9848.66,2019-09-24
PMT0000459,LON0000603,7521.93,2024-04-24
PMT0000460,LON0002978,2649.88,2024-06-23
PMT0000461,LON0001572,4499.35,2024-04-16
PMT0000462,LON0001903,6042.88,2020-03-20
PMT0000463,LON0002047,9632.51,2018-11-24
PMT0000464,LON0002145,2767.58,2022-10-05
PMT0000465,LON0001954,1669.45,2021-05-24
PMT0000466,LON0002908,9514.75,2018-11-18
PMT0000467,LON0002300,9505.89,2019-09-04
PMT0000468,LON0002269,2442.95,2021-02-25
PMT0000469,LON0001040,5233.04,2022-09-26
PMT0000470,LON0000483,579.75,2018-12-10
PMT0000471,LON0002863,9511.87,2020-09-03
PMT0000472,LON0002190,3505.11,2022-09-30
PMT0000473,LON0000356,9304.36,2021-03-01
PMT0000474,LON0001756,7296.42,2019-01-17
PMT0000475,LON0002327,9657.91,2019-08-07
PMT0000476,LON0002965,3864.99,2018-11-01
PMT0000477,LON0000588,4854.2,2018-10-30
PMT0000478,LON0001076,2526.4,2021-06-10
PMT0000479,LON0000786,2624.58,2021-09-30
PMT0000480,LON0002023,4695.47,2023-07-20
PMT0000481,LON0001907,8458.86,2020-12-03
PMT0000482,LON0002057,9946.05,2023-01-22
PMT0000483,LON0000800,8866.39,2024-10-29
PMT0000484,LON0002550,2325.74,2024-04-18
PMT0000485,LON0001366,2277.23,2019-03-26
PMT0000486,LON0002544,8934.24,2020-10-28
PMT0000487,LON0002657,4158.17,2020-07-08
PMT0000488,LON0002894,5678.84,2020-03-14
PMT0000489,LON0001717,356.37,2023-04-02
PMT0000490,LON0002422,3141.39,2018-11-26
PMT0000491,LON0001168,7715.97,2018-08-07
PMT0000492,LON0000403,4975.74,2021-07-07
PMT0000493,LON0000686,6012.5,2020-05-03
PMT0000494,LON0001241,9986.87,2019-04-23
PMT0000495,LON0001059,6456.64,2022-06-25
PMT0000496,LON0002494,2688.03,2020-11-25
PMT0000497,LON0000395,8047.84,2023-12-23
PMT0000498,LON0002371,3002.0,2022-05-01
PMT0000499,LON0001483,3656.89,2022-07-28
PMT0000500,LON0000338,3341.18,2023-10-24
PMT0000501,LON0001307,6977.47,2024-06-29
PMT0000502,LON0002572,7213.25,2023-01-02
PMT0000503,LON0002390,7910.19,2019-07-21
PMT0000504,LON0000405,1543.35,2024-08-21
PMT0000505,LON0001465,211.61,2018-02-15
PMT0000506,LON0000876,5505.67,2019-11-12
PMT0000507,LON0001633,9136.99,2022-05-30
PMT0000508,LON0001415,9843.59,2020-02-22
PMT0000509,LON0002665,7114.58,2021-05-16
PMT0000510,LON0001041,4802.54,2020-04-09
PMT0000511,LON0000009,9589.46,2020-10-29
PMT0000512,LON0001561,3569.22,2019-02-27
PMT0000513,LON0000211,711.67,2018-09-12
PMT0000514,LON0002721,4552.52,2019-05-11
PMT0000515,LON0000850,5577.39,2024-10-28
PMT0000516,LON0002388,4511.73,2021-04-05
PMT0000517,LON0000838,6367.34,2024-01-15
PMT0000518,LON0002302,6447.95,2023-09-29
PMT0000519,LON0000442,6384.8,2024-02-17
PMT0000520,LON0002392,7895.85,2018-10-09
PMT0000521,LON0001128,5319.95,2023-07-22
PMT0000522,LON0000029,1975.45,2020-03-01
PMT0000523,LON0002708,8039.86,2019-04-19
PMT0000524,LON0002533,7012.99,2018-11-02
PMT0000525,LON0002103,8053.41,2022-05-17
PMT0000526,LON0001690,2120.29,2021-11-06
PMT0000527,LON0002923,3648.78,2021-01-27
PMT0000528,LON0002217,5635.94,2021-03-03
PMT0000529,LON0002380,1259.68,2020-06-11
PMT0000530,LON0000252,8452.56,2021-06-19
PMT0000531,LON0002114,4796.25,2022-03-24
PMT0000532,LON0002893,6562.02,2024-02-26
PMT0000533,LON0001797,7278.89,2021-06-02
PMT0000534,LON0001815,3934.21,2022-02-13
PMT0000535,LON0002015,7366.08,2019-05-21
PMT0000536,LON0000512,7007.71,2018-11-08
PMT0000537,LON0000961,2373.05,2023-10-01
PMT0000538,LON0002238,7115.98,2023-10-16
PMT0000539,LON0001438,1366.73,2023-08-24
PMT0000540,LON0001404,4518.29,2024-08-27
PMT0000541,LON0000091,5640.95,2022-04-03
PMT0000542,LON0001775,9659.38,2024-12-02
PMT0000543,LON0001609,562.23,2024-06-06
PMT0000544,LON0002715,5335.97,2022-04-01
PMT0000545,LON0001655,5694.09,2022-04-06
PMT0000546,LON0000320,4311.91,2022-07-28
PMT0000547,LON0002252,8506.32,2020-03-18
PMT0000548,LON0000743,5710.58,2021-05-31
PMT0000549,LON0001296,4515.56,2023-02-06
PMT0000550,LON0001649,6785.96,2024-02-01
PMT0000551,LON0002709,3727.21,2023-04-12
PMT0000552,LON0000128,1349.42,2023-11-25
PMT0000553,LON0002046,8706.43,2024-02-13
PMT0000554,LON0001412,3500.74,2022-05-24
PMT0000555,LON0002274,3541.11,2023-06-01
PMT0000556,LON0000145,3488.54,2024-08-04
PMT0000557,LON0002218,2276.3,2024-04-03
PMT0000558,LON0002729,989.32,2024-09-10
PMT0000559,LON0001487,4244.98,2023-05-13
