loan_id,customer_id,loan_type,loan_amount,interest_rate,status
LON0000044,CUST0001650,Mortgage,328269.26,10.7,Active
LON0000045,CUST0001056,Business,363940.6,10.26,Active
LON0000046,CUST0002842,Auto,210720.5,19.62,Active
LON0000047,CUST0000962,Auto,440171.52,5.4,Active
LON0000048,CUST0001992,Personal,110067.21,6.51,Default
LON0000049,CUST0000895,Personal,251979.87,17.87,Active
LON0000050,CUST0001405,Business,28097.03,18.63,Active
LON0000051,CUST0001167,Business,73696.64,17.1,Closed
LON0000052,CUST0002638,Business,312240.04,15.96,Active
LON0000053,CUST0001043,Business,230656.64,13.23,Active
LON0000054,CUST0002099,Personal,24151.75,16.91,Closed
LON0000055,CUST0000612,Mortgage,150135.99,6.53,Closed
LON0000056,CUST0002903,Mortgage,228668.67,16.62,Active
LON0000057,CUST0000716,Auto,284164.69,13.36,Active
LON0000058,CUST0000322,Auto,4198.02,19.77,Active
LON0000059,CUST0000987,Mortgage,313011.6,5.57,Active
LON0000060,CUST0002858,Auto,381497.35,9.39,Active
LON0000061,CUST0002217,Business,134651.5,9.62,Default
LON0000062,CUST0002652,Business,408043.85,10.13,Default
LON0000063,CUST0001160,Personal,429144.1,12.68,Active
LON0000064,CUST0001280,Mortgage,416995.18,18.53,Active
LON0000065,CUST0002374,Auto,182671.22,4.02,Active
LON0000066,CUST0002725,Mortgage,428222.65,17.14,Default
LON0000067,CUST0001614,Business,410353.24,2.53,Active
LON0000068,CUST0000949,Auto,364321.75,18.68,Active
LON0000069,CUST0001337,Auto,241532.44,9.6,Closed
LON0000070,CUST0000874,Business,296282.89,18.64,Active
LON0000071,CUST0002514,Mortgage,307183.54,17.06,Default
LON0000072,CUST0002614,Personal,237532.62,5.42,Closed
LON0000073,CUST0002416,Business,118928.48,8.58,Active
LON0000074,CUST0000224,Auto,103103.45,17.64,Active
LON0000075,CUST0002433,Business,445636.03,2.51,Closed
LON0000076,CUST0002310,Personal,457132.44,17.5,Active
LON0000077,CUST0001086,Personal,370410.17,12.69,Active
LON0000078,CUST0000162,Auto,490826.28,18.15,Default
LON0000079,CUST0000817,Personal,138289.92,16.0,Closed
LON0000080,CUST0000816,Business,15491.34,8.02,Active
LON0000081,CUST0001301,Mortgage,348769.81,5.64,Default
LON0000082,CUST0001569,Personal,281874.58,18.34,Closed
LON0000083,CUST0002078,Business,326944.05,19.28,Active
LON0000084,CUST0001937,Mortgage,156832.02,10.03,Active
LON0000085,CUST0000017,Personal,144127.67,19.33,Active
LON0000086,CUST0002638,Mortgage,237390.54,19.79,Active
LON0000087,CUST0001195,Auto,286822.55,7.31,Active
LON0000088,CUST0000931,Business,392641.43,7.91,Active
LON0000089,CUST0000586,Mortgage,430099.06,17.23,Active
LON0000090,CUST0002037,Mortgage,374773.97,3.88,Active
LON0000091,CUST0002027,Mortgage,139713.46,12.89,Active
LON0000092,CUST0001710,Auto,415330.25,9.73,Default
LON0000093,CUST0002462,Mortgage,200179.34,16.56,Active
LON0000094,CUST0002841,Business,220937.92,5.34,Active
LON0000095,CUST0002013,Auto,207204.9,6.71,Active
LON0000096,CUST0001988,Auto,257926.26,19.65,Closed
LON0000097,CUST0000919,Mortgage,60528.22,8.09,Closed
LON0000098,CUST0001182,Mortgage,61625.9,13.97,Active
LON0000099,CUST0000918,Auto,277632.3,11.84,Closed
LON0000100,CUST0002940,Personal,104657.2,5.75,Active
LON0000101,CUST0000050,Mortgage,271832.23,14.02,Active
LON0000102,CUST0000587,Personal,423103.21,6.79,Closed
LON0000103,CUST0002012,Business,371914.97,19.72,Active
LON0000104,CUST0000476,Mortgage,45815.47,5.34,Active
LON0000105,CUST0001336,Mortgage,247255.15,19.22,Active
LON0000106,CUST0002558,Mortgage,186510.73,16.19,Default
LON0000107,CUST0001183,Business,334680.01,2.98,Active
LON0000108,CUST0002187,Mortgage,171874.74,10.57,Active
LON0000109,CUST0002364,Auto,498297.15,17.26,Closed
LON0000110,CUST0001539,Personal,310213.12,13.14,Active
LON0000111,CUST0001963,Business,116687.19,18.53,Closed
LON0000112,CUST0001337,Business,218150.95,12.61,Active
LON0000113,CUST0001357,Personal,94389.41,8.83,Active
LON0000114,CUST0001131,Mortgage,361336.52,9.02,Active
LON0000115,CUST0002855,Business,376381.92,17.46,Active
LON0000116,CUST0002759,Mortgage,185445.96,10.56,Default
LON0000117,CUST0000926,Mortgage,494949.8,3.37,Active
LON0000118,CUST0002205,Personal,159880.16,13.45,Closed
LON0000119,CUST0000261,Business,24863.76,9.67,Active
LON0000120,CUST0002257,Personal,22179.04,17.44,Active
LON0000121,CUST0001264,Personal,53503.1,6.34,Active
LON0000122,CUST0001783,Auto,53949.14,16.94,Active
LON0000123,CUST0000373,Auto,120529.11,8.94,Active
LON0000124,CUST0001792,Personal,99151.61,19.25,Active
LON0000125,CUST0001858,Mortgage,398785.61,9.51,Active
LON0000126,CUST0002962,Business,360905.79,16.11,Active
LON0000127,CUST0002298,Mortgage,385530.87,8.54,Active
LON0000128,CUST0002144,Personal,160407.56,9.61,Closed
LON0000129,CUST0000291,Personal,375829.61,6.29,Active
LON0000130,CUST0002095,Business,336711.81,14.18,Closed
LON0000131,CUST0002511,Mortgage,349157.89,5.7,Default
LON0000132,CUST0002526,Mortgage,383852.82,6.07,Active
LON0000133,CUST0002541,Personal,321004.6,8.33,Active
LON0000134,CUST0000781,Personal,74590.73,5.94,Active
LON0000135,CUST0001734,Mortgage,187373.43,17.0,Closed
LON0000136,CUST0001419,Mortgage,282769.91,4.37,Active
LON0000137,CUST0002970,Mortgage,48246.89,9.31,Active
LON0000138,CUST0001212,Auto,302761.87,11.57,Active
LON0000139,CUST0001131,Business,19649.41,16.05,Closed
LON0000140,CUST0001371,Personal,372607.73,5.6,Closed
LON0000141,CUST0001025,Mortgage,267452.13,16.8,Default
LON0000142,CUST0000229,Mortgage,163324.38,2.52,Closed
LON0000143,CUST0000063,Mortgage,219654.25,12.94,Default
LON0000144,CUST0001106,Auto,317821.2,2.31,Active
LON0000145,CUST0001798,Auto,60720.86,5.04,Active
LON0000146,CUST0000676,Mortgage,264115.27,15.0,Active
LON0000147,CUST0000437,Business,65498.67,3.42,Active
LON0000148,CUST0000084,Mortgage,384189.92,16.52,Closed
LON0000149,CUST0002243,Personal,158236.59,2.33,Default
LON0000150,CUST0002953,Auto,390497.51,19.74,Active
LON0000151,CUST0000692,Auto,483807.12,17.33,Active
LON0000152,CUST0001205,Business,128643.71,8.88,Closed
LON0000153,CUST0000749,Mortgage,446982.33,3.07,Active
LON0000154,CUST0001938,Personal,474187.18,7.89,Closed
LON0000155,CUST0002303,Personal,488790.79,17.26,Closed
LON0000156,CUST0000584,Business,289591.19,4.9,Active
LON0000157,CUST0000344,Personal,368729.74,9.8,Closed
LON0000158,CUST0000823,Auto,206265.84,18.18,Active
LON0000159,CUST0000750,Personal,292824.85,5.83,Active
LON0000160,CUST0000603,Mortgage,82826.58,15.25,Active
LON0000161,CUST0002602,Mortgage,316869.43,2.8,Active
LON0000162,CUST0001278,Auto,17256.08,8.4,Active
LON0000163,CUST0002892,Auto,229956.5,3.02,Active
LON0000164,CUST0000190,Auto,368220.21,17.18,Active
LON0000165,CUST0000387,Personal,27301.02,10.41,Active
LON0000166,CUST0002681,Business,276143.57,6.85,Active
LON0000167,CUST0000393,Auto,228997.66,11.0,Active
LON0000168,CUST0001361,Auto,126649.61,6.87,Closed
LON0000169,CUST0000511,Personal,109802.82,5.52,Active
LON0000170,CUST0000523,Auto,483706.12,3.27,Active
LON0000171,CUST0002001,Auto,83108.51,7.43,Closed
LON0000172,CUST0001791,Personal,283035.57,10.01,Active
LON0000173,CUST0002003,Business,189315.83,8.42,Default
LON0000174,CUST0002151,Mortgage,37132.92,7.94,Active
LON0000175,CUST0001731,Auto,119637.74,7.68,Closed
LON0000176,CUST0002473,Business,221575.48,15.46,Default
LON0000177,CUST0000920,Mortgage,241478.21,6.59,Active
LON0000178,CUST0000426,Auto,148784.98,11.17,Active
LON0000179,CUST0001650,Mortgage,402848.23,5.38,Active
LON0000180,CUST0000286,Business,136702.95,7.16,Active
LON0000181,CUST0001956,Mortgage,245807.66,12.72,Active
LON0000182,CUST0000224,Mortgage,225137.55,3.7,Active
LON0000183,CUST0000779,Auto,235808.65,12.5,Default
LON0000184,CUST0002588,Business,310398.13,15.92,Active
LON0000185,CUST0002991,Mortgage,383714.55,6.85,Active
LON0000186,CUST0000946,Personal,247574.45,15.95,Active
LON0000187,CUST0001588,Personal,39802.79,13.79,Active
LON0000188,CUST0002509,Business,60312.49,15.46,Closed
LON0000189,CUST0001928,Auto,36903.36,2.64,Active
LON0000190,CUST0002664,Business,484342.75,12.92,Active
LON0000191,CUST0001460,Business,266124.53,9.25,Active
LON0000192,CUST0001937,Auto,101421.95,13.99,Active
LON0000193,CUST0001771,Auto,41710.95,15.6,Default
LON0000194,CUST0000270,Auto,54522.15,15.96,Active
LON0000195,CUST0002229,Mortgage,452382.6,19.01,Active
LON0000196,CUST0000590,Mortgage,321102.52,2.58,Closed
LON0000197,CUST0000440,Business,486989.92,4.67,Closed
LON0000198,CUST0000881,Auto,338896.76,15.24,Closed
LON0000199,CUST0000988,Mortgage,334907.18,9.14,Closed
LON0000200,CUST0002436,Auto,419960.54,6.57,Active
LON0000201,CUST0000866,Auto,134381.13,4.59,Active
LON0000202,CUST0000268,Business,258547.99,8.38,Active
LON0000203,CUST0001468,Business,449015.58,10.05,Active
LON0000204,CUST0001559,Mortgage,342712.05,7.0,Active
LON0000205,CUST0002255,Personal,4428.86,3.41,Active
LON0000206,CUST0002598,Personal,469315.64,4.46,Active
LON0000207,CUST0000607,Business,255139.89,13.64,Active
LON0000208,CUST0001452,Business,251275.38,6.24,Active
LON0000209,CUST0000521,Personal,255243.73,14.92,Active
LON0000210,CUST0001450,Auto,152814.65,16.6,Closed
LON0000211,CUST0002128,Business,295812.07,16.52,Active
LON0000212,CUST0001887,Personal,10349.38,2.5,Active
LON0000213,CUST0002397,Business,114918.34,12.65,Closed
LON0000214,CUST0000950,Personal,134905.48,12.46,Active
LON0000215,CUST0000818,Business,187632.95,5.62,Active
LON0000216,CUST0001459,Auto,175111.92,5.46,Active
LON0000217,CUST0000788,Auto,488560.62,4.84,Active
LON0000218,CUST0002844,Personal,92717.36,3.28,Default
LON0000219,CUST0000156,Mortgage,413254.49,8.19,Active
LON0000220,CUST0001480,Auto,332567.38,18.71,Active
LON0000221,CUST0000403,Business,31743.27,10.93,Active
LON0000222,CUST0001202,Auto,118069.07,15.28,Active
LON0000223,CUST0002245,Personal,164450.09,4.5,Active
LON0000224,CUST0000774,Personal,246927.66,8.21,Closed
LON0000225,CUST0002328,Auto,305197.8,15.65,Active
LON0000226,CUST0002354,Mortgage,99715.87,6.72,Closed
LON0000227,CUST0002044,Business,217950.07,13.59,Active
LON0000228,CUST0002057,Mortgage,228830.59,10.96,Active
LON0000229,CUST0002742,Auto,320491.1,16.68,Closed
LON0000230,CUST0001437,Personal,202329.85,17.75,Active
LON0000231,CUST0000574,Personal,384892.29,14.62,Active
LON0000232,CUST0002384,Mortgage,399236.47,8.24,Active
LON0000233,CUST0001716,Auto,114760.39,12.6,Active
LON0000234,CUST0001597,Auto,248085.89,15.88,Default
LON0000235,CUST0002740,Auto,363815.35,8.12,Active
LON0000236,CUST0001984,Personal,318324.2,10.29,Active
LON0000237,CUST0000455,Personal,445484.39,17.35,Active
LON0000238,CUST0000700,Business,454400.46,8.03,Active
LON0000239,CUST0002936,Mortgage,224780.14,18.88,Active
LON0000240,CUST0002639,Business,149105.94,4.83,Default
LON0000241,CUST0002984,Business,465710.27,16.8,Active
LON0000242,CUST0002600,Business,312076.29,6.93,Active
LON0000243,CUST0002843,Personal,439716.57,14.45,Active
LON0000244,CUST0001393,Auto,295543.35,17.44,Active
LON0000245,CUST0002619,Mortgage,86268.97,19.04,Closed
LON0000246,CUST0001917,Mortgage,251701.26,8.67,Closed
LON0000247,CUST0001339,Auto,366459.65,14.36,Closed
LON0000248,CUST0000035,Auto,489119.16,7.38,Active
LON0000249,CUST0001247,Auto,480452.86,6.48,Active
LON0000250,CUST0001508,Mortgage,40813.31,10.3,Active
LON0000251,CUST0002383,Business,278332.8,2.12,Active
LON0000252,CUST0000481,Mortgage,113439.28,5.66,Active
LON0000253,CUST0000516,Mortgage,226094.66,9.51,Active
LON0000254,CUST0000320,Business,206133.41,13.89,Active
LON0000255,CUST0002521,Business,482882.19,14.07,Active
LON0000256,CUST0000861,Auto,419308.48,11.35,Active
LON0000257,CUST0000164,Personal,28020.73,7.77,Default
LON0000258,CUST0000139,Mortgage,139833.13,5.47,Default
LON0000259,CUST0002297,Auto,263725.34,15.75,Default
LON0000260,CUST0001143,Auto,229795.76,14.59,Closed
LON0000261,CUST0001895,Business,217034.82,7.16,Active
LON0000262,CUST0000991,Mortgage,249855.1,8.7,Active
LON0000263,CUST0001378,Business,370323.58,14.86,Active
LON0000264,CUST0001149,Auto,113313.23,9.87,Active
LON0000265,CUST0001752,Business,253812.3,5.15,Active
LON0000266,CUST0001385,Auto,496236.1,4.32,Closed
LON0000267,CUST0001979,Mortgage,232067.0,3.29,Active
LON0000268,CUST0001821,Personal,142754.9,7.74,Closed
LON0000269,CUST0000051,Mortgage,440558.12,8.81,Default
LON0000270,CUST0000692,Business,333074.44,5.58,Active
LON0000271,CUST0001278,Mortgage,233898.64,4.09,Active
LON0000272,CUST0000589,Business,150540.32,11.16,Active
LON0000273,CUST0002641,Business,162931.35,18.99,Active
LON0000274,CUST0002252,Mortgage,41097.34,13.32,Active
LON0000275,CUST0002360,Business,153645.98,15.76,Active
LON0000276,CUST0002778,Auto,104119.53,15.11,Active
LON0000277,CUST0002123,Mortgage,174240.42,16.65,Active
LON0000278,CUST0001194,Personal,402937.3,8.04,Active
LON0000279,CUST0001295,Personal,26225.15,5.81,Closed
LON0000280,CUST0001953,Business,482643.07,3.08,Active
LON0000281,CUST0000599,Business,319750.22,17.36,Active
LON0000282,CUST0001936,Auto,128652.39,9.31,Active
LON0000283,CUST0002415,Business,387688.4,19.64,Default
LON0000284,CUST0001900,Personal,272871.65,6.52,Active
LON0000285,CUST0001802,Mortgage,449163.22,4.77,Active
LON0000286,CUST0001137,Auto,123025.8,15.24,Active
LON0000287,CUST0000497,Personal,78882.96,4.33,Default
LON0000288,CUST0001531,Personal,136771.21,17.08,Active
LON0000289,CUST0001590,Personal,270736.56,16.45,Active
LON0000290,CUST0000637,Personal,449251.93,18.07,Closed
LON0000291,CUST0002762,Business,303920.84,10.15,Closed
LON0000292,CUST0001875,Auto,177607.56,2.73,Active
LON0000293,CUST0001436,Personal,484510.95,4.03,Active
LON0000294,CUST0002822,Auto,71358.15,10.64,Closed
LON0000295,CUST0001656,Auto,439840.23,3.75,Active
LON0000296,CUST0002554,Personal,119579.43,4.15,Active
LON0000297,CUST0000327,Auto,55702.19,3.34,Active
LON0000298,CUST0000233,Personal,430219.82,6.75,Active
LON0000299,CUST0000296,Auto,491837.34,13.9,Default
LON0000300,CUST0001746,Auto,131260.35,7.6,Closed
LON0000301,CUST0000435,Business,410976.32,11.48,Active
LON0000302,CUST0001238,Personal,389821.43,14.07,Closed
LON0000303,CUST0001781,Mortgage,452266.35,10.82,Active
LON0000304,CUST0001671,Business,396503.32,14.91,Active
LON0000305,CUST0000738,Mortgage,484246.1,18.25,Active
LON0000306,CUST0002872,Personal,172910.55,8.6,Active
LON0000307,CUST0001710,Mortgage,309030.53,10.17,Active
LON0000308,CUST0001314,Mortgage,330025.55,2.46,Active
LON0000309,CUST0000469,Auto,60567.97,8.15,Active
LON0000310,CUST0001556,Business,358614.03,8.59,Active
LON0000311,CUST0000562,Mortgage,68398.99,14.37,Closed
LON0000312,CUST0002136,Mortgage,108587.26,17.4,Active
LON0000313,CUST0000203,Mortgage,172160.67,18.75,Active
LON0000314,CUST0001072,Personal,44722.99,13.27,Active
LON0000315,CUST0002783,Auto,150946.96,12.9,Active
LON0000316,CUST0002378,Mortgage,96597.69,3.68,Active
LON0000317,CUST0001650,Business,43146.85,7.22,Active
LON0000318,CUST0001519,Auto,247542.86,6.62,Active
LON0000319,CUST0002456,Auto,365270.13,12.92,Active
LON0000320,CUST0000064,Personal,401307.89,5.08,Active
LON0000321,CUST0001368,Business,49530.67,17.15,Active
LON0000322,CUST0002499,Personal,315989.34,8.0,Active
LON0000323,CUST0001836,Personal,312646.13,19.68,Active
LON0000324,CUST0002444,Personal,349476.98,17.04,Active
LON0000325,CUST0000437,Auto,143607.9,5.75,Active
LON0000326,CUST0002115,Auto,474354.93,12.95,Closed
LON0000327,CUST0002591,Business,305334.37,18.15,Active
LON0000328,CUST0001071,Business,36944.37,6.81,Closed
LON0000329,CUST0001189,Auto,214012.8,19.74,Active
LON0000330,CUST0000306,Mortgage,78530.23,12.09,Active
LON0000331,CUST0000171,Auto,108217.57,18.97,Default
LON0000332,CUST0002684,Auto,31727.53,4.15,Active
LON0000333,CUST0001436,Auto,376733.14,14.37,Active
LON0000334,CUST0002897,Personal,122594.69,15.64,Active
LON0000335,CUST0002761,Personal,53364.63,10.64,Active
LON0000336,CUST0002258,Personal,90709.85,16.76,Active
LON0000337,CUST0001146,Auto,341291.46,7.86,Closed
LON0000338,CUST0001884,Mortgage,174340.55,5.74,Active
LON0000339,CUST0002959,Business,419320.01,6.64,Active
LON0000340,CUST0000761,Auto,496914.56,14.52,Default
LON0000341,CUST0001705,Mortgage,331165.69,15.84,Active
LON0000342,CUST0002352,Business,144860.34,9.18,Active
LON0000343,CUST0001008,Auto,286692.69,10.36,Active
LON0000344,CUST0001704,Mortgage,175176.75,10.05,Active
LON0000345,CUST0002624,Mortgage,346502.22,6.73,Active
LON0000346,CUST0000880,Auto,54795.01,19.47,Closed
LON0000347,CUST0001950,Auto,185564.54,3.7,Active
LON0000348,CUST0002444,Business,498880.2,15.21,Active
LON0000349,CUST0002981,Mortgage,358517.98,18.98,Active
LON0000350,CUST0000832,Auto,395488.06,2.53,Active
LON0000351,CUST0002256,Auto,319813.86,14.31,Closed
LON0000352,CUST0001397,Mortgage,145114.31,9.1,Active
LON0000353,CUST0001888,Personal,30314.87,18.86,Active
LON0000354,CUST0001840,Personal,475823.87,7.7,Active
LON0000355,CUST0002518,Auto,58881.89,4.82,Active
LON0000356,CUST0001682,Personal,142567.86,2.13,Default
LON0000357,CUST0001469,Mortgage,191502.77,10.8,Active
LON0000358,CUST0001911,Mortgage,139799.55,4.82,Active
LON0000359,CUST0001830,Mortgage,122338.63,14.81,Default
LON0000360,CUST0000184,Personal,133794.32,2.84,Closed
LON0000361,CUST0001445,Personal,311150.22,12.99,Active
LON0000362,CUST0000967,Business,154153.26,6.6,Active
LON0000363,CUST0000221,Personal,122808.09,4.34,Active
LON0000364,CUST0001831,Business,202494.41,2.93,Active
LON0000365,CUST0000231,Personal,329136.52,5.97,Active
LON0000366,CUST0002017,Mortgage,425152.66,17.33,Closed
LON0000367,CUST0002542,Personal,94923.38,12.38,Closed
LON0000368,CUST0002882,Personal,342969.72,17.77,Active
LON0000369,CUST0002140,Auto,58541.79,17.95,Active
LON0000370,CUST0000655,Personal,237482.53,11.79,Active
LON0000371,CUST0001374,Personal,201275.16,11.6,Closed
LON0000372,CUST0002792,Business,345344.99,10.31,Closed
LON0000373,CUST0000175,Mortgage,347701.99,2.44,Default
LON0000374,CUST0002860,Mortgage,250337.6,19.45,Active
LON0000375,CUST0002209,Business,460066.34,3.65,Active
LON0000376,CUST0002725,Personal,334678.9,18.99,Closed
LON0000377,CUST0000545,Business,39360.05,15.94,Default
LON0000378,CUST0002526,Business,305292.99,6.94,Default
LON0000379,CUST0000107,Mortgage,349465.81,16.4,Active
LON0000380,CUST0002271,Mortgage,68313.12,19.11,Active
LON0000381,CUST0002965,Mortgage,218878.71,9.1,Active
LON0000382,CUST0001452,Personal,217143.84,16.73,Active
LON0000383,CUST0000081,Personal,289196.68,18.06,Active
LON0000384,CUST0001398,Auto,41432.9,13.88,Closed
LON0000385,CUST0001133,Personal,237155.9,11.8,Active
LON0000386,CUST0001173,Mortgage,371987.75,16.83,Active
LON0000387,CUST0002579,Personal,42701.58,3.95,Active
LON0000388,CUST0000157,Business,413075.93,5.62,Active
LON0000389,CUST0000425,Business,418732.48,12.29,Default
LON0000390,CUST0002910,Auto,456468.5,14.26,Active
LON0000391,CUST0001189,Business,142377.45,13.6,Active
LON0000392,CUST0000756,Mortgage,244779.77,16.7,Active
LON0000393,CUST0000961,Mortgage,33317.85,7.21,Active
LON0000394,CUST0000026,Mortgage,345204.93,4.98,Active
LON0000395,CUST0000669,Mortgage,240988.89,13.64,Active
LON0000396,CUST0000675,Mortgage,145710.71,8.81,Default
LON0000397,CUST0000820,Auto,125556.98,4.05,Default
LON0000398,CUST0000136,Mortgage,461247.58,7.1,Default
LON0000399,CUST0000697,Personal,432328.82,17.19,Active
LON0000400,CUST0002713,Business,363021.41,3.51,Active
LON0000401,CUST0001603,Personal,217132.0,4.35,Closed
LON0000402,CUST0001994,Personal,246309.7,5.9,Active
LON0000403,CUST0000392,Mortgage,10942.67,3.41,Active
LON0000404,CUST0002329,Auto,166776.0,9.1,Active
LON0000405,CUST0001589,Personal,412019.61,3.75,Active
LON0000406,CUST0002597,Business,481646.12,16.2,Closed
LON0000407,CUST0000654,Business,157372.03,16.75,Active
LON0000408,CUST0001996,Personal,5093.82,4.41,Active
LON0000409,CUST0002992,Auto,422365.52,5.72,Active
LON0000410,CUST0000257,Mortgage,107179.47,16.69,Active
LON0000411,CUST0000972,Personal,68382.99,7.36,Default
LON0000412,CUST0000807,Auto,352783.98,19.2,Active
LON0000413,CUST0002772,Auto,335899.77,6.39,Active
LON0000414,CUST0000107,Business,212592.57,11.56,Active
LON0000415,CUST0001520,Auto,107183.07,8.24,Closed
LON0000416,CUST0002955,Auto,483402.5,7.57,Closed
LON0000417,CUST0002013,Personal,357292.15,12.99,Active
LON0000418,CUST0001428,Mortgage,429542.51,18.74,Active
LON0000419,CUST0002671,Mortgage,205975.66,8.9,Active
LON0000420,CUST0002049,Personal,428361.57,13.44,Active
LON0000421,CUST0002244,Business,494107.51,10.28,Active
LON0000422,CUST0000882,Auto,276712.25,15.36,Closed
LON0000423,CUST0000760,Business,178131.12,5.44,Active
LON0000424,CUST0000751,Business,198079.76,3.46,Active
LON0000425,CUST0000636,Personal,12621.53,5.88,Active
LON0000426,CUST0001876,Personal,2687.72,15.04,Active
LON0000427,CUST0000131,Mortgage,111098.31,13.62,Closed
LON0000428,CUST0002083,Mortgage,361186.22,3.59,Active
LON0000429,CUST0002665,Business,8133.3,18.96,Active
LON0000430,CUST0001153,Auto,105384.63,5.51,Active
LON0000431,CUST0001609,Business,222483.48,9.26,Closed
LON0000432,CUST0000542,Mortgage,478349.66,15.07,Active
LON0000433,CUST0000808,Auto,193119.5,19.41,Active
LON0000434,CUST0002731,Business,47433.84,7.92,Active
LON0000435,CUST0000414,Personal,460607.51,12.97,Active
LON0000436,CUST0001097,Personal,282391.37,15.23,Active
LON0000437,CUST0000544,Business,278650.57,3.8,Active
LON0000438,CUST0002783,Personal,495181.95,5.99,Closed
LON0000439,CUST0000920,Mortgage,142571.61,8.74,Active
LON0000440,CUST0002232,Auto,274411.96,5.77,Default
LON0000441,CUST0001051,Auto,470491.3,9.11,Active
LON0000442,CUST0000738,Business,375900.1,17.04,Active
LON0000443,CUST0002555,Auto,381406.85,7.45,Active
LON0000444,CUST0000762,Mortgage,194037.83,14.69,Active
LON0000445,CUST0000666,Auto,161721.66,16.38,Closed
LON0000446,CUST0001330,Mortgage,256549.89,18.14,Active
LON0000447,CUST0000508,Personal,297571.46,3.04,Active
LON0000448,CUST0000299,Personal,240797.15,2.49,Active
LON0000449,CUST0001066,Business,490820.01,5.62,Active
LON0000450,CUST0002552,Mortgage,279035.42,2.6,Active
LON0000451,CUST0002507,Personal,490172.31,12.45,Active
LON0000452,CUST0001431,Mortgage,20433.56,6.95,Active
LON0000453,CUST0001254,Business,479123.71,3.99,Active
LON0000454,CUST0001174,Business,468533.93,5.11,Active
LON0000455,CUST0001994,Personal,237282.96,10.7,Default
LON0000456,CUST0002083,Business,441885.88,4.43,Default
LON0000457,CUST0000778,Mortgage,3544.87,9.09,Default
LON0000458,CUST0001124,Personal,230550.98,7.73,Active
LON0000459,CUST0002879,Mortgage,449065.78,19.86,Active
LON0000460,CUST0001989,Personal,187380.18,2.76,Default
LON0000461,CUST0001422,Auto,95540.36,9.87,Active
LON0000462,CUST0002162,Business,89395.28,2.8,Closed
LON0000463,CUST0001008,Mortgage,280189.36,14.25,Closed
LON0000464,CUST0001298,Personal,326458.2,7.54,Active
LON0000465,CUST0002043,Auto,429425.53,12.77,Active
LON0000466,CUST0001994,Business,25807.48,9.92,Default
LON0000467,CUST0001172,Auto,28892.39,9.3,Active
LON0000468,CUST0000727,Business,22136.29,17.74,Active
LON0000469,CUST0000840,Mortgage,283143.88,14.46,Active
LON0000470,CUST0000652,Business,82250.14,8.07,Active
LON0000471,CUST0002214,Mortgage,100915.34,4.04,Active
LON0000472,CUST0000353,Personal,448726.21,4.03,Active
